股票代码		股票名
sh000001	上证指数
sz399001	深证指数
sz399006	创业板指
sh000016	上证50
中证500	沪深300
sz399905	中证500
sz399997	中证白酒
sz159687	亚太精选
sh501225	全球芯片
sz164824	印度基金
sh513310	中韩半导体
sh513730	东南亚科技
中证500	标普信息科技
sh513100	Nasdq
sh513030	德国
sz159866	日经
sh518880	黄金
sz159841	证券
中证500	银行
sh516110	汽车
sz159929	医药
sh518880	黄金
sh512480	半导体
中证500		sz002475	
sz002869	金溢科技
sz300630	普利制药
sz300719	安达维尔
sz301123	亦东电子
